Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","0603C",230.886000,-33.274000,90.000000,bottom
"C2","10uF","0603C",275.960840,-51.643280,180.000000,bottom
"C3","10uF","0603C",275.960840,-53.726080,180.000000,bottom
"C4","10uF","0603C",275.910040,-41.178480,180.000000,bottom
"C5","10uF","0603C",275.910040,-45.166280,180.000000,bottom
"C6","10uF","0603C",275.910040,-43.185080,180.000000,bottom
"C7","100nF","0603C",275.818600,-0.218440,180.000000,bottom
"C8","100nF","0603C",240.141760,-5.140960,180.000000,bottom
"C9","100nF","0603C",265.470640,-35.859720,90.000000,bottom
"C10","100nF","0603C",251.587000,-45.598080,180.000000,bottom
"C11","100nF","0603C",240.080800,3.185160,180.000000,bottom
"C12","4.7uF","0805C",265.663680,-47.919640,0.000000,bottom
"C13","2.2uF","0805C",268.686280,-44.632880,270.000000,bottom
"C14","2.2uF","0805C",252.882400,-48.427640,180.000000,bottom
"C15","100nF","0603C",288.804240,-59.582080,180.000000,bottom
"C16","30pF","0603C",247.980200,-28.605480,90.000000,bottom
"C17","30pF","0603C",247.980200,-24.998680,270.000000,bottom
"C18","10K","0603C",244.530880,-28.183840,0.000000,bottom
"C19","10K","0603C",244.535960,-26.238200,180.000000,bottom
"C20","100nF","0603C",265.511280,-45.476160,0.000000,bottom
"C21","100nF","0603C",250.494800,-34.091880,180.000000,bottom
"C22","100nF","0603C",276.230080,-16.489680,180.000000,bottom
"C23","1uF","0805C",254.802640,-7.152640,270.000000,bottom
"C24","100nF","0603C",262.773160,-7.071360,270.000000,bottom
"C25","100nF","0603C",231.800400,-45.720000,180.000000,bottom
"C26","100nF","0603C",259.262880,-52.181760,270.000000,bottom
"C27","100nF","0603C",232.918000,-33.274000,90.000000,bottom
"D1","LED","0805LED",233.578400,-62.214760,0.000000,bottom
"FID1","FIDUCIAL","FIDUCIAL",230.286560,4.930140,0.000000,bottom
"FID2","FIDUCIAL","FIDUCIAL",268.028420,-56.596280,0.000000,bottom
"FID3","FIDUCIAL","FIDUCIAL",284.962600,7.297420,0.000000,bottom
"J3","GS2","GS2",268.838680,-22.590760,90.000000,bottom
"L1","L","1227AS-H-1R5N=P2",279.745440,-48.392080,90.000000,bottom
"Q1","Q_NMOS_DGS","SOT23",230.550720,-37.612320,90.000000,bottom
"R1","120.0","0603R",229.814120,-61.521340,270.000000,bottom
"R2","0R","0603R",271.322800,-47.498000,0.000000,bottom
"R3","10K","0603R",264.210165,9.342120,0.000000,bottom
"R4","10K","0603R",259.270500,9.398000,0.000000,bottom
"R5","10K","0603R",274.193000,9.334500,0.000000,bottom
"R6","10K","0603R",269.240000,9.398000,0.000000,bottom
"R7","10K","0603R",291.782500,-12.446000,90.000000,bottom
"R8","10K","0603R",291.782500,-7.429500,90.000000,bottom
"R9","10K","0603R",291.782500,2.540000,90.000000,bottom
"R10","10K","0603R",291.782500,7.556500,90.000000,bottom
"R11","10K","0603R",291.782500,-22.479000,90.000000,bottom
"R12","10K","0603R",291.782500,-17.462500,90.000000,bottom
"R13","10K","0603R",291.782500,-27.432000,90.000000,bottom
"R14","10K","0603R",291.782500,-32.448500,90.000000,bottom
"R15","10K","0603R",279.209500,9.334500,0.000000,bottom
"R16","10K","0603R",291.782500,-2.413000,90.000000,bottom
"R17","10K","0603R",239.204500,9.334500,0.000000,bottom
"R18","10K","0603R",244.221000,9.398000,0.000000,bottom
"R19","10K","0603R",249.237500,9.334500,0.000000,bottom
"R20","10K","0603R",254.254000,9.334500,0.000000,bottom
"R21","10K","0603R",288.734500,-57.658000,0.000000,bottom
"R22","0R","0603R",253.936500,-25.019000,90.000000,bottom
"R23","10K","0603R",270.954500,-44.450000,90.000000,bottom
"R24","100K","0603R",278.320500,-59.436000,180.000000,bottom
"R25","330R","0603R",286.258000,-46.736000,0.000000,bottom
"R26","330R","0603R",286.258000,-50.546000,0.000000,bottom
"R27","10K","0603R",259.588000,-26.276300,180.000000,bottom
"R28","10K","0603R",257.111500,-10.096500,0.000000,bottom
"R29","10K","0603R",260.604000,-10.541000,90.000000,bottom
"R30","330R","0603R",244.348000,-51.816000,180.000000,bottom
"R31","330R","0603R",231.838500,-47.688500,0.000000,bottom
"R32","100R","0603R",233.362500,-37.973000,270.000000,bottom
"R33","12K5","0603R",233.362500,-41.338500,90.000000,bottom
"R34","10K","0603R",230.759000,-40.386000,0.000000,bottom
"R35","10K","0603R",260.731000,-48.450500,180.000000,bottom
"R36","10K","0603R",260.731000,-46.926500,180.000000,bottom
"R37","4K7","0603R",244.348000,-48.006000,180.000000,bottom
"R38","3K6","0603R",244.348000,-49.974500,180.000000,bottom
"R39","3K6","0603R",231.902000,-51.752500,0.000000,bottom
"R40","4K7","0603R",231.902000,-49.720500,0.000000,bottom
"S2","Sakura","Sakura_solder_mask",278.386540,-32.021780,270.000000,bottom
"U1","USBLC6-2SC6","TSOT-23-6",236.829600,-57.937400,270.000000,bottom
"U2","TPS63000","Texas_DRC0010J_ThermalVias",275.300440,-48.493680,180.000000,bottom
"U3","74HC32","TSSOP14",243.758720,-1.153160,0.000000,bottom
"U4","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",257.632200,-39.370000,270.000000,bottom
"U5","74LVC07","TSSOP14",243.804440,-9.347200,0.000000,bottom
"U6","74LVC07","TSSOP14",279.497801,-4.292481,0.000000,bottom
"U7","74LVC07","TSSOP14",279.882600,-20.645120,0.000000,bottom
"U8","USBPowerSwitch","SOT23-5",259.232400,-7.233920,180.000000,bottom
"U9","16F18855","SSOP-28_5.3x10.2mm_P0.65mm",240.309400,-38.404800,270.000000,bottom
"U10","SN74CBT3253","TSSOP16",255.254760,-54.335680,270.000000,bottom
"U11","74HC4066","TSSOP14",238.099600,-50.215800,0.000000,bottom
"Y1","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",251.028200,-26.827480,90.000000,bottom
"S1","Sakura","Sakura_solder_mask",277.830280,-32.908240,90.000000,top
